,production
1002,26402
1003,25722
1004,25536
1005,26123
1006,26115
1007,26878
1008,26934
1009,27079
1010,27712
1011,28669
1012,28782
1013,29404
1014,29734
1015,29087
1016,28071
1017,27189
1018,27027
1019,27374
1020,27739
1021,28197
1022,28598
1023,28878
1024,28867
1025,27365
1026,25272
1027,23269
1028,22877
1029,22586
1030,22611
1031,22834
1032,23935
1033,25265
1034,26792
1035,27338
1036,28202
1037,28673
1038,29130
1039,29600
1040,27794
1041,26833
1042,26591
1043,27133
1044,27271
1045,27309
1046,28149
1047,28704
1048,28840
1049,27053
1050,24743
1051,23847
1052,23523
1053,23498
1054,23795
1055,24342
1056,25288
1057,26950
1058,28351
1059,29445
1060,29427
1061,29190
1062,29637
1063,29896
1064,29197
1065,29303
1066,29531
1067,29142
1068,28530
1069,28133
1070,29578
1071,30341
1072,31292
1073,30661
1074,28529
1075,26585
1076,26488
1077,26456
1078,26119
1079,26398
1080,27266
1081,28081
1082,29038
1083,29864
1084,30444
1085,30700
1086,30733
1087,29666
1088,28767
1089,28024
1090,28159
1091,28174
1092,29166
1093,28849
1094,29254
1095,29634
1096,29578
1097,28501
1098,26054
1099,24231
1100,23395
1101,23205
1102,23608
1103,24264
1104,25486
1105,26290
1106,27199
1107,28018
1108,28471
1109,28651
1110,28448
1111,27792
1112,27653
1113,27411
1114,27384
1115,27798
1116,27639
1117,27649
1118,27674
1119,28872
1120,28537
1121,27625
1122,24814
1123,23187
1124,23056
1125,23500
1126,24295
1127,24836
1128,25018
1129,25640
1130,26465
1131,26558
1132,27283
1133,28200
1134,28466
1135,26580
1136,25687
1137,25112
1138,25199
1139,25431
1140,25449
1141,24686
1142,24788
1143,24681
1144,24205
1145,23498
1146,23033
1147,22042
1148,21539
1149,21611
1150,21662
1151,22055
1152,22825
1153,23570
1154,24824
1155,25010
1156,25250
1157,26180
1158,26816
1159,25506
1160,24505
1161,24028
1162,24668
1163,24425
1164,25279
1165,25477
1166,25270
1167,24758
1168,23760
1169,23341
1170,22049
1171,21475
1172,21451
1173,21257
1174,21352
1175,21970
1176,22933
1177,23736
1178,24322
1179,24845
1180,25639
1181,26241
1182,26719
1183,26199
1184,25319
1185,24805
1186,25552
1187,25918
1188,26218
1189,26180
1190,25790
1191,26049
1192,25454
